true_code;RA_g;RA_h;PER_1;SDPRO_std;DI_an;DI_ex;DI_ez;DI_hd;DI_w_short;RSD_05;RSD_510;ldmc
ABIBAL;0;0;0;2;0;0;0;0;0;0;0;283.235294117647
Abies.sp.;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;283.235294117647
ACEGIN;NA;NA;0;NA;NA;NA;NA;1;NA;NA;NA;327.615894039735
ACENEG;0;0;0;2;0;0;0;0;0;0;0;244.190640467874
ACENIG;0;0;0;2;0;0;0;0;0;NA;NA;344.588207282751
ACEPEN;0;0;0;2;0;0;0;0;0;NA;NA;197.468223713587
ACEPLA;NA;NA;0;NA;0;0;0;0;0;0;0;266.259175924769
Acer.sp.;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;328.673916658013
ACERUB;0;0;0;2;0;0;0;0;0;0;0;387.504039191866
ACESAC;0;0;0;2;0;0;0;0;0;0;0;386.554738898655
ACESACX;0;0;0;2;0;0;0;0;0;0;0;373.606759640751
Actaea.sp.;NA;NA;0;NA;NA;NA;1;NA;NA;0;1;170.085097342082
ACTPAC;1;0;0;NA;NA;NA;1;NA;NA;1;0;161.262634056014
ACTRUB;1;0;0;1;0;0;0;0;0;NA;NA;181.985599556681
ADIPED;1;0;0;2;0;0;0;0;0;0;0;262.938303535996
AGEALT;NA;NA;0;NA;0;0;0;0;0;NA;NA;NA
AGRSTR;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;177.49184487133
ALLPET;0;1;1;2;0;1;0;1;0;NA;NA;102.854540280719
ALLTRI;1;0;0;0;1;0;1;0;0;NA;NA;NA
Amelanchier.sp.;0;0;0;NA;0;1;0;0;0;0;0;331.263705307539
AMPBRA;0;1;1;1;0;1;1;0;0;NA;NA;NA
ANEACU;0;1;0;1;1;0;0;0;1;NA;NA;219.622914699792
ANTSYL;0;1;1;2;0;0;0;1;1;0;1;94.4921142283317
ARANUD;1;1;0;1;0;0;1;0;0;1;1;238.402117292323
ARARAC;0;1;0;NA;0;0;1;0;0;NA;NA;NA
ARCMIN;0;1;0;2;0;0;0;0;0;0;1;52.3374529822676
ARITRI;1;0;0;0;0;0;1;0;0;0;1;74.1953075984413
ASACAN;1;1;0;1;1;0;0;0;0;NA;NA;116.798874709825
Aster.sp.;0;1;NA;NA;NA;NA;NA;NA;1;NA;NA;NA
ATHFIL;0;1;0;2;0;1;0;0;0;1;0;155.061057918107
ATHTHE;0;1;0;NA;NA;NA;NA;NA;NA;1;1;127.167868177137
BERTHU;1;0;0;1;0;0;1;0;0;NA;NA;178.154106689246
BETALL;0;0;0;2;0;0;0;0;0;0;0;249.512195121951
BETPOP;0;0;0;NA;0;0;0;0;0;NA;NA;NA
BRAERE;0;1;0;NA;0;0;0;0;0;NA;NA;355.172413793103
Campanula.sp.;0;1;NA;1;0;0;0;1;1;NA;NA;NA
CAMRAP;NA;NA;0;NA;0;0;0;1;1;NA;NA;NA
CARARC;0;1;0;1;0;0;1;0;0;NA;NA;NA
CARCAR;0;0;0;NA;0;0;1;0;0;NA;NA;NA
CARCOR;0;0;0;2;0;0;1;0;0;0;0;380.80011812031
CARDIP;1;0;0;0;0;0;0;0;1;1;0;111.625066866601
Carex.sp.;1;1;0;1;NA;NA;NA;NA;1;NA;NA;260.456555293535
CARHIR;1;0;NA;NA;NA;NA;NA;NA;1;NA;NA;NA
CAROVA;0;0;0;2;0;0;1;0;0;0;0;NA
CARPLA;0;1;NA;NA;0;0;1;0;1;NA;NA;210.657571334201
CARRAD;0;1;0;NA;0;0;0;0;1;NA;NA;NA
CAUGIG;1;0;0;0;0;0;1;0;1;1;1;193.333256218719
CAUTHA;1;0;0;0;0;0;1;0;1;NA;NA;171.282633595845
CELOCC;0;0;0;2;0;0;1;0;0;0;0;182.504472271914
CELORB;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA
CEPOCC;0;0;0;NA;0;0;0;0;1;NA;NA;NA
CHEMAJ;NA;NA;0;NA;0;0;0;1;0;NA;NA;NA
Circaea.sp.;1;0;0;1;0;0;0;0;0;1;0;128.568728577412
Cirsium.sp.;1;1;0;2;1;0;0;1;0;NA;NA;NA
CLACAR;1;0;0;2;1;1;0;0;0;1;0;59.2518486011222
CONMAJ;1;0;0;0;0;0;1;0;0;NA;NA;171.830202044052
CORALT;0;0;0;1;0;0;0;0;0;NA;NA;209.471106807052
CORCOR;0;0;0;2;0;0;1;0;0;0;0;293.746386442112
Cornus.sp.;NA;NA;NA;NA;0;0;1;0;0;NA;NA;209.471106807052
Crataegus.sp.;0;0;0;NA;NA;NA;1;NA;NA;NA;NA;315.460948515648
CYSBUL;0;1;0;2;0;1;0;0;0;NA;NA;NA
DENPUN;0;1;NA;2;0;1;0;0;0;1;0;NA
Dicentra.sp.;1;0;0;1;1;0;0;0;0;NA;NA;103.03352117445
DIRPAL;0;0;0;NA;0;0;1;0;0;NA;NA;204.698734177215
DRYGOL;0;1;0;2;0;1;0;0;0;NA;NA;NA
DRYMAR;0;1;0;2;0;1;0;0;0;NA;NA;248.164110174491
DRYSPI;1;0;0;2;0;0;0;0;0;1;1;229.598537694412
EPIHEL;1;0;0;2;0;0;0;0;0;0;1;122.432551415101
EPIVIR;1;0;0;2;0;0;0;0;0;NA;NA;NA
EQUARV;1;0;0;2;0;1;0;0;0;0;0;NA
ERIANN;0;0;1;2;0;0;0;0;1;NA;NA;NA
ERYAME;1;0;0;0;1;0;0;0;0;0;1;108.936458594944
FAGGRA;0;0;0;2;0;0;1;0;0;0;0;403.024388836282
FRAALN;NA;NA;0;2;0;0;0;1;0;NA;NA;199.745574935402
FRAAME;0;0;0;2;0;0;0;0;0;0;0;339.032827161708
FRANIG;0;0;0;2;0;0;0;0;0;NA;NA;NA
FRAPEN;0;0;0;2;0;0;0;0;0;0;0;357.947287095224
FRAVIR;0;1;0;2;0;0;1;0;0;1;0;195.586854460094
Fraxinus.sp.;0;0;0;2;0;0;0;0;0;0;0;341.734892866496
Galium.sp.;0;1;1;1;1;0;1;1;0;1;0;136.111111111111
GALTRI;0;1;0;1;0;0;1;0;0;1;0;136.111111111111
GEUALE;0;1;0;2;1;0;0;0;0;NA;NA;192.113643486038
GEUCAN;0;1;0;2;1;0;0;0;0;0;0;178.860294117647
Geum.sp.;0;1;0;2;1;0;0;0;0;1;0;187.695860363241
HIESCA;0;1;0;NA;0;0;0;1;0;NA;NA;NA
HUPLUC;NA;NA;0;NA;NA;NA;NA;NA;1;1;1;NA
HYDVIR;0;1;0;0;0;0;0;0;0;1;0;123.511669700117
HYSPAT;0;1;0;NA;NA;NA;NA;NA;1;NA;NA;201.724137931034
IMPCAP;0;1;1;0;0;1;0;0;0;1;0;100.472032240561
IMPPAR;0;0;1;NA;0;1;0;0;0;NA;NA;NA
INC;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INC_Fern;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INC_Forb;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INC_Gram;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INC_Shrub;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
INC_Tree;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
JUGNIG;0;0;0;2;0;0;1;0;0;0;0;NA
LAPCAN;1;0;0;NA;0;0;0;0;0;NA;NA;133.100192733379
LEOCAR;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
Lonicera.sp.;0;0;0;2;0;0;1;1;0;0;1;283.049292554372
LONMOR;NA;NA;0;NA;NA;NA;1;1;NA;NA;NA;NA
LONTAT;0;0;0;2;0;0;1;1;0;NA;NA;NA
