;true_code;espece;genus;id.level;arbre;eee;exotic
1;ABIBAL;Abies balsamea;Abies;species;1;0;0
2;Abies sp.;Abies sp.;Abies;genus;1;0;NA
3;ACEGIN;Acer tataricum subsp. ginnala;Acer;species;1;0;1
4;ACENEG;Acer negundo;Acer;species;1;1;1
5;ACENIG;Acer nigrum;Acer;species;1;0;0
6;ACEPEN;Acer pensylvanicum;Acer;species;2;0;0
7;ACEPLA;Acer platanoides;Acer;species;1;1;1
8;Acer sp.;Acer sp.;Acer;genus;1;0;NA
9;ACERUB;Acer rubrum;Acer;species;1;0;0
10;ACESAC;Acer saccharum var. saccharum;Acer;species;1;0;0
11;ACESACX;Acer saccharinum;Acer;species;1;0;0
12;Actaea sp.;Actaea sp.;Actaea;genus;0;0;0
13;ACTPAC;Actaea pachypoda;Actaea;species;0;0;0
14;ACTRUB;Actaea rubra;Actaea;species;0;0;0
15;ADIPED;Adiantum pedatum;Adiantum;species;0;0;0
16;AGEALT;Ageratina altissima;Ageratina;species;0;0;0
17;AGRSTR;Agrimonia striata;Agrimonia;species;0;0;0
18;ALLPET;Alliaria petiolata;Alliaria;species;0;1;1
19;ALLTRI;Allium tricoccum;Allium;species;0;0;0
20;Amelanchier sp.;Amelanchier sp.;Amelanchier;genus;2;0;NA
21;AMPBRA;Amphicarpaea bracteata;Amphicarpaea;species;0;0;0
22;ANEACU;Hepatica acutiloba;Hepatica;species;0;0;0
23;ANTSYL;Anthriscus sylvestris;Anthriscus;species;0;1;1
24;ARANUD;Aralia nudicaulis;Aralia;species;0;0;0
25;ARARAC;Aralia racemosa;Aralia;species;0;0;0
26;ARCMIN;Arctium minus;Arctium;species;0;0;1
27;ARITRI;Arisaema triphyllum;Arisaema;species;0;0;0
28;ASACAN;Asarum canadense;Asarum;species;0;0;0
29;Aster sp.;Aster sp.;Aster;genus;0;0;NA
30;ATHFIL;Athyrium filix-femina;Athyrium;species;0;0;0
31;ATHTHE;Deparia acrostichoides;Deparia;species;0;0;0
32;BERTHU;Berberis thunbergii;Berberis;species;0;0;1
33;BETALL;Betula alleghaniensis;Betula;species;1;0;0
34;BETPOP;Betula populifolia;Betula;species;1;0;0
35;BRAERE;Brachyelytrum erectum;Brachyelytrum;species;0;0;0
36;Campanula sp.;Campanula sp.;Campanula;genus;0;0;NA
37;CAMRAP;Campanula rapunculoides;Campanula;species;0;0;1
38;CARARC;Carex arctata;Carex;species;0;0;0
39;CARCAR;Carpinus caroliniana;Carpinus;species;2;0;0
40;CARCOR;Carya cordiformis;Carya;species;1;0;0
41;CARDIP;Cardamine diphylla;Cardamine;species;0;0;0
42;Carex sp.;Carex sp.;Carex;genus;0;0;NA
43;CARHIR;Carex hirtifolia;Carex;species;0;0;0
44;CAROVA;Carya ovata;Carya;species;1;0;0
45;CARPLA;Carex plantaginea;Carex;species;0;0;0
46;CARRAD;Carex radiata;Carex;species;0;0;0
47;CAUGIG;Caulophyllum giganteum;Caulophyllum;species;0;0;0
48;Caulophyllum sp.;Caulophyllum sp.;Caulophyllum;genus;0;0;0
49;CAUTHA;Caulophyllum thalictroides;Caulophyllum;species;0;0;0
50;CELOCC;Celtis occidentalis;Celtis;species;1;0;0
51;CELORB;Celastrus orbiculatus;Celastrus;species;0;0;1
52;CEPOCC;Cephalanthus occidentalis;Cephalanthus;species;0;0;0
53;CHEMAJ;Chelidonium majus;Chelidonium;species;0;0;1
54;Circaea sp.;Circaea sp.;Circaea;genus;0;0;0
55;Cirsium sp.;Cirsium sp.;Cirsium;genus;0;0;NA
56;CLACAR;Claytonia caroliniana;Claytonia;species;0;0;0
57;CONMAJ;Convallaria majalis;Convallaria;species;0;0;1
58;Convalaria sp.;Convallaria sp.;Convallaria;genus;0;0;1
59;CORALT;Cornus alternifolia;Cornus;species;2;0;0
60;CORCOR;Corylus cornuta;Corylus;species;2;0;0
61;Cornus sp.;Cornus sp.;Cornus;genus;?;0;NA
62;Crataegus sp.;Crataegus sp.;Crataegus;genus;2;0;NA
63;CYSBUL;Cystopteris bulbifera;Cystopteris;species;0;0;0
64;DENPUN;Dennstaedtia punctilobula;Dennstaedtia;species;0;0;0
65;Dicentra sp.;Dicentra sp.;Dicentra;genus;0;0;0
66;DIRPAL;Dirca palustris;Dirca;species;2;0;0
67;DRYGOL;Dryopteris goldiana;Dryopteris;species;0;0;0
68;DRYMAR;Dryopteris marginalis;Dryopteris;species;0;0;0
69;DRYSPI;Dryopteris carthusiana;Dryopteris;species;0;0;0
70;EPIHEL;Epipactis helleborine;Epipactis;species;0;0;1
71;EPIVIR;Epifagus virginiana;Epifagus;species;0;0;0
72;EQUARV;Equisetum arvense;Equisetum;species;0;0;0
73;ERIANN;Erigeron annuus;Erigeron;species;0;0;0
74;ERYAME;Erythronium americanum;Erythronium;species;0;0;0
75;FAGGRA;Fagus grandifolia;Fagus;species;1;0;0
76;FRAALN;Frangula alnus;Frangula;species;2;1;1
77;FRAAME;Fraxinus americana;Fraxinus;species;1;0;0
78;Fragaria sp.;Fragaria sp.;Fragaria;genus;0;0;0
79;FRANIG;Fraxinus nigra;Fraxinus;species;1;0;0
80;FRAPEN;Fraxinus pennsylvanica;Fraxinus;species;1;0;0
81;FRAVIR;Fragaria virginiana;Fragaria;species;0;0;0
82;Fraxinus sp.;Fraxinus sp.;Fraxinus;genus;1;0;0
83;Galium sp.;Galium sp.;Galium;genus;0;0;NA
84;GALTRI;Galium triflorum;Galium;species;0;0;0
85;GEUALE;Geum aleppicum;Geum;species;0;0;0
86;GEUCAN;Geum canadense;Geum;species;0;0;0
87;Geum sp.;Geum sp.;Geum;genus;0;0;NA
88;HIESCA;Hieracium scabrum;Hieracium;species;0;0;0
89;HUPLUC;Huperzia lucidula;Huperzia;species;0;0;0
90;HYDVIR;Hydrophyllum virginianum;Hydrophyllum;species;0;0;0
91;HYSPAT;Elymus hystrix;Elymus;species;0;0;0
92;IMPCAP;Impatiens capensis;Impatiens;species;0;0;0
93;IMPPAR;Impatiens parviflora;Impatiens;species;0;0;1
94;INC;Unknown;NA;NA;0;0;NA
95;INC_Forb;Unknown (forb);NA;NA;0;0;NA
96;INC_Forb;Unknown (forb);NA;NA;0;0;NA
97;INC_Gram;Unknown (graminoid);NA;NA;0;0;NA
