site;nn_wdist;profslope;closs;gradient;ref
Aj;-9,643331749;10,2860915;0,706910291;5;0
An;-8,103330338;11,45992955;0,778466841;3;0
Arb;-3,325862809;12,05712342;0,675870488;4;0
Ath;-10,681958;11,42220262;0,518953129;1;1
Bro;-11,5034412;10,64669013;0,309363237;1;1
Ce;-3,735719868;11,51485908;0,756453422;3;0
Cho;-4,066778826;10,50716011;0,757397658;3;0
Cor;-0,724950558;11,31845083;0,920436903;5;0
Cui;-8,729705642;11,3238588;0,276552912;1;1
Dee;-10,71558073;11,59446833;0,495965346;1;1
Dew;-8,994665004;12,10537908;0,478930538;1;1
Dor;-11,1219991;10,09792152;0,821456209;2;0
Duv;-1,225773204;11,16474706;0,513067424;4;0
Ecl;-11,51095448;10,76740139;0,319595956;1;1
Edi;-11,49635178;10,25566637;0,298628148;1;1
Equ;-7,441141682;11,14447373;0,716763609;3;0
Gra;-1,116423602;11,45868153;0,652220326;4;0
Hei;-3,044955116;11,65144918;0,797887809;4;0
Iba;-5,25036332;11,07845972;0,653083624;2;0
Laj;-0,306628552;12,43230008;0,893652972;4;0
Lef;-10,9639027;10,16713036;0,279299133;1;1
Li;-7,16805054;11,02305871;0,915394695;3;0
Mac;2,017785189;10,7662263;0,77906968;4;0
Mej;-1,038814189;11,04399093;0,71338781;5;0
Mev;-1,038814189;11,70441724;0,530321317;3;0
Mol;-8,035545643;11,73304358;0,742894727;2;0
Mor;-7,832319279;11,2493109;0,847712838;2;0
Mou;-6,319571911;11,22806775;0,332577609;2;0
Mtb;-9,18296477;11,47109527;0,465349235;3;0
Mui;-9,209540143;11,9941003;0,476430805;1;1
Or;-6,202423055;11,5773207;0,696038125;2;0
Per;0,488617957;11,19216042;0,769485577;4;0
Pin;-4,677288309;10,91509072;0,396796761;2;0
Po;-0,71402363;11,56448277;0,801335938;5;0
Re;-2,687141556;11,31970276;0,825907648;3;0
Ren;-4,18629063;11,05574254;0,917904102;4;0
Roc;-4,74245928;10,37558764;0,733561562;2;0
Sai;-2,095832328;10,77613359;0,682345316;5;0
Sen;-5,714782981;10,7869025;0,59564522;4;0
Te;-1,93111778;11,53697841;0,464301996;3;0
Tho;0,805602441;11,27256174;0,771074979;4;0
Wi;-3,99959723;11,01832038;0,680380766;4;0
