"";"SDWT_std";"SDPER_std";"DI_w";"LE_ord";"sla";"HGT_std";"PFO_std";"POL_a";"POL_b"
"Aj";13766980,6652079;1,63170163170163;0,180778032036613;1,98812351543943;306,467479157428;1913,21380846325;0,0131004366812227;0,613272311212815;0,709382151029748
"An";2909570,27409639;1,16566265060241;0,11144578313253;1,84709480122324;320,373316060606;2109,87272727273;0;0,666666666666667;0,733333333333333
"Arb";86513,1722689076;1,7399577167019;0,242677824267783;1,82258064516129;356,183233715596;1777,71861471862;0,00213219616204691;0,588235294117647;0,588235294117647
"Ath";6587315,0079365;1,3448275862069;0,200743494423792;1,79282868525896;314,551831060606;2571,81027667984;0,0620155038759689;0,764705882352941;0,63921568627451
"Bro";11991730,1102941;1,0969387755102;0,281173594132029;1,88888888888889;272,252053170732;1704,01470588235;0,0437956204379563;0,674019607843137;0,612745098039216
"Ce";17300,0390243902;1,04878048780488;0,0780487804878049;1,75121951219512;259,889667804878;3120,17587939698;0;0,924623115577889;0,753768844221105
"Cho";16275460,3869801;1,52866242038217;0,294303797468354;1,95786061588331;377,825078812199;1493,52833333333;0,00492610837438424;0,407345575959933;0,607679465776294
"Cor";101811,753799392;1,90273556231003;0,209726443768997;1,6583850931677;356,450259442725;1845,00308641975;0,00304878048780487;0,506134969325153;0,730061349693252
"Cui";6253948,19252336;1,34392523364486;0,290322580645161;1,87524752475248;340,019601079137;1484,61308411215;0,00557620817843867;0,541353383458647;0,674812030075188
"Dee";2076583,47930283;1,32421052631579;0,26694045174538;1,72549019607843;392,384739203354;1865,25974025974;0,0277777777777778;0,636160714285714;0,671875
"Dew";4340993,58181818;1,20671834625323;0,274111675126904;1,82428940568475;279,563454761905;1862,56363636364;0,0994897959183674;0,695876288659794;0,561855670103093
"Dor";3139101,24242424;1,225;0,151933701657459;1,97167138810198;321,407660606061;1832,70994475138;0,0110192837465565;0,567867036011081;0,778393351800554
"Duv";15721219,6473684;1,23746701846966;0,20997375328084;1,7313829787234;301,312743733333;1841,0602739726;0,00539083557951482;0,665745856353591;0,552486187845304
"Ecl";6625853,40821918;1,00547945205479;0,0794044665012407;2,01369863013699;288,985380555556;1763,37878787879;0,0604534005037783;0,643835616438356;0,602739726027397
"Edi";5697383,84319528;1,24925816023739;0,166189111747851;1,76785714285714;317,660454597701;2053,01744186047;0,0116279069767442;0,684684684684685;0,66966966966967
"Equ";2194235,68678161;1,33526011560694;0,290598290598291;1,6812865497076;283,497569627507;2264,56725146199;0;0,765395894428152;0,563049853372434
