;true_code;espece;genus;id.level
1;ABIBAL;Abies balsamea;Abies;species
2;Abies sp.;Abies sp.;Abies;genus
3;ACEGIN;Acer tataricum subsp. ginnala;Acer;species
4;ACENEG;Acer negundo;Acer;species
5;ACENIG;Acer nigrum;Acer;species
6;ACEPEN;Acer pensylvanicum;Acer;species
7;ACEPLA;Acer platanoides;Acer;species
8;Acer sp.;Acer sp.;Acer;genus
9;ACERUB;Acer rubrum;Acer;species
10;ACESAC;Acer saccharum var. saccharum;Acer;species
11;ACESACX;Acer saccharinum;Acer;species
12;Actaea sp.;Actaea sp.;Actaea;genus
13;ACTPAC;Actaea pachypoda;Actaea;species
14;ACTRUB;Actaea rubra;Actaea;species
15;ADIPED;Adiantum pedatum;Adiantum;species
16;AGEALT;Ageratina altissima;Ageratina;species
17;AGRSTR;Agrimonia striata;Agrimonia;species
18;ALLPET;Alliaria petiolata;Alliaria;species
19;ALLTRI;Allium tricoccum;Allium;species
20;Amelanchier sp.;Amelanchier sp.;Amelanchier;genus
21;AMPBRA;Amphicarpaea bracteata;Amphicarpaea;species
22;ANEACU;Hepatica acutiloba;Hepatica;species
23;ANTSYL;Anthriscus sylvestris;Anthriscus;species
24;ARANUD;Aralia nudicaulis;Aralia;species
25;ARARAC;Aralia racemosa;Aralia;species
26;ARCMIN;Arctium minus;Arctium;species
27;ARITRI;Arisaema triphyllum;Arisaema;species
28;ASACAN;Asarum canadense;Asarum;species
29;Aster sp.;Aster sp.;Aster;genus
30;ATHFIL;Athyrium filix-femina;Athyrium;species
31;ATHTHE;Deparia acrostichoides;Deparia;species
32;BERTHU;Berberis thunbergii;Berberis;species
33;BETALL;Betula alleghaniensis;Betula;species
34;BETPOP;Betula populifolia;Betula;species
35;BRAERE;Brachyelytrum erectum;Brachyelytrum;species
36;Campanula sp.;Campanula sp.;Campanula;genus
37;CAMRAP;Campanula rapunculoides;Campanula;species
38;CARARC;Carex arctata;Carex;species
39;CARCAR;Carpinus caroliniana;Carpinus;species
40;CARCOR;Carya cordiformis;Carya;species
41;CARDIP;Cardamine diphylla;Cardamine;species
42;Carex sp.;Carex sp.;Carex;genus
